director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,News,Thriller,Fantasy,Comedy,Animation,History,Western,Music,Family,Short,Game-Show,Action,Sport,Drama,Mystery,Sci-Fi,Biography,Documentary,War,Film-Noir,Horror,Crime,Reality-TV,Musical,Adventure,Romance,budget,revenue,profit,rate,budget_infl,gross_infl,director_count,actor1_count,actor2_count,actor3_count,normalized_profit,content_rating_G,content_rating_NC-17,content_rating_PG,content_rating_PG-13,content_rating_R,content_rating_Unrated
Peter Hewitt,80.0,12.0,58.0,Mark Christopher Lawrence,13000.0,Animation|Comedy|Family|Fantasy,Bill Murray,Garfield,13430,Michael Monks,0.0,cat|dog|first part|lasagna|veterinarian,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,English,USA,2004,258.0,5.0,1.85,795,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000,200804534,17459977776.15425,0.8637154979999999,5788943247.606286,23248921023.760536,1.0,4.0,1.0,1.0,0.1305210291484708,0,0,1,0,0,0
Kevin Bray,86.0,10.0,348.0,Ashley Scott,12000.0,Action|Crime,Dwayne Johnson,Walking Tall,14146,Michael Bowen,1.0,casino|football|sheriff|special forces|violence,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,English,USA,2004,795.0,6.2,2.35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56000000,57223890,141700595.02625716,0.8637154979999999,6483616437.31904,6625317032.345297,2.0,8.0,1.0,1.0,0.0010592203167483383,0,0,0,1,0,0
Richard Linklater,80.0,0.0,3.0,Albert Delpy,50.0,Drama|Romance,Vernon Dobtcheff,Before Sunset,65,Marie Pillet,0.0,book|bookstore|love|simultaneity|train,http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1,English,USA,2004,8.0,8.0,1.85,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2700000,15992615,1539003876.9456007,0.8637154979999999,312602935.37073946,1851606812.3163397,2.0,1.0,1.0,1.0,0.011504682557121029,0,0,0,0,1,0
Brad Bird,115.0,663.0,55.0,Craig T. Nelson,1000.0,Action|Adventure|Animation|Family,Holly Hunter,The Incredibles,1901,Lou Romano,0.0,hero|island|lawsuit|secret|superhero,http://www.imdb.com/title/tt0317705/?ref_=fn_tt_tt_1,English,USA,2004,723.0,8.0,2.35,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92000000,631442092,62455993119.16017,0.8637154979999999,10651655575.595566,73107648694.75574,2.0,3.0,1.0,1.0,0.4668862158007187,0,0,1,0,0,0
Paul Haggis,115.0,549.0,911.0,Loretta Devine,3000.0,Crime|Drama|Thriller,Don Cheadle,Crash,5732,Jennifer Esposito,0.0,race relations|racism|racist|social problem|stereotype,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,English,Germany,2004,912.0,7.9,2.35,18000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6500000,98410061,10641242540.260635,0.8637154979999999,752562622.1888171,11393805162.449451,1.0,3.0,3.0,2.0,0.07954795669150877,0,0,0,0,1,0
Kevin Smith,102.0,0.0,769.0,Mike Starr,939.0,Comedy|Drama|Romance,Stephen Root,Jersey Girl,3592,George Carlin,5.0,baby|childbirth|death|karma|publicist,http://www.imdb.com/title/tt0300051/?ref_=fn_tt_tt_1,English,USA,2004,854.0,6.2,2.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,35000000,35492921,57069833.89106676,0.8637154979999999,4052260273.3244,4109330107.215467,3.0,2.0,2.0,2.0,0.00042656781299313737,0,0,0,1,0,0
Clint Eastwood,132.0,16000.0,567.0,Morgan Freeman,16000.0,Drama|Sport,Clint Eastwood,Million Dollar Baby,28830,Mike Colter,1.0,boxing|boxing trainer|death|suicide attempt|women boxing,http://www.imdb.com/title/tt0405159/?ref_=fn_tt_tt_1,English,USA,2004,11000.0,8.1,2.35,14000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30000000,216763646,21623282948.20061,0.8637154979999999,3473365948.5637717,25096648896.764385,4.0,5.0,10.0,1.0,0.1616435832371034,0,0,0,1,0,0
Peter Segal,99.0,88.0,328.0,Peter Dante,11000.0,Comedy|Romance,Adam Sandler,50 First Dates,12952,Allen Covert,2.0,dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,English,USA,2004,427.0,6.8,2.35,11000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75000000,196482882,14065150189.073023,0.8637154979999999,8683414871.409428,22748565060.48245,2.0,5.0,1.0,1.0,0.1051431861044584,0,0,0,1,0,0
Mark Rosman,95.0,15.0,528.0,Lin Shaye,1000.0,Comedy|Family|Romance,Dan Byrd,A Cinderella Story,3092,Julie Gonzalo,2.0,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,English,USA,2004,852.0,5.9,1.85,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19000000,70067909,5912584539.498446,0.8637154979999999,2199798434.0903893,8112382973.588835,1.0,1.0,2.0,2.0,0.04419913927031791,0,0,1,0,0,0
Roland Emmerich,124.0,776.0,812.0,Dennis Quaid,15000.0,Action|Adventure|Sci-Fi|Thriller,Jake Gyllenhaal,The Day After Tomorrow,20553,Sela Ward,0.0,climate|end of the world|global warming|natural disaster|weather,http://www.imdb.com/title/tt0319262/?ref_=fn_tt_tt_1,English,USA,2004,2000.0,6.4,2.35,19000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,125000000,544272402,48542882809.31136,0.8637154979999999,14472358119.015717,63015240928.32709,2.0,8.0,7.0,1.0,0.3628795407515904,0,0,0,1,0,0
Nick Hamm,102.0,6.0,353.0,Cameron Bright,22000.0,Drama|Horror|Sci-Fi|Thriller,Robert De Niro,Godsend,23352,Munro Chambers,1.0,birthday|boy|clone|cloning|doctor,http://www.imdb.com/title/tt0335121/?ref_=fn_tt_tt_1,English,USA,2004,829.0,4.8,2.35,387,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,25000000,30120671,592865476.1732665,0.8637154979999999,2894471623.803143,3487337099.976409,1.0,16.0,1.0,1.0,0.004431878057686318,0,0,0,1,0,0
Michael Schultz,94.0,78.0,469.0,Kimberly Elise,912.0,Drama,Loretta Devine,Woman Thou Art Loosed,3049,Clifton Powell,0.0,abuse|bishop|death|flashback|poverty,http://www.imdb.com/title/tt0399901/?ref_=fn_tt_tt_1,English,USA,2004,637.0,6.9,,187,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3000000,6804016,440424654.7397255,0.8637154979999999,347336594.8563771,787761249.5961026,1.0,3.0,1.0,2.0,0.0032923152549794955,0,0,0,0,1,0
Christopher Erskin,97.0,4.0,826.0,Shannon Elizabeth,1000.0,Comedy,Vanessa Williams,Johnson Family Vacation,5006,Shad Moss,5.0,cross country|cross country trip|highway travel|on the road|road movie,http://www.imdb.com/title/tt0359517/?ref_=fn_tt_tt_1,English,USA,2004,1000.0,4.3,2.35,243,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000,31179516,2220582592.8111343,0.8637154979999999,1389346379.4255085,3609928972.236643,1.0,2.0,5.0,1.0,0.016599785984228052,0,0,0,1,0,0
Nick Cassavetes,123.0,415.0,545.0,Kevin Connolly,33000.0,Drama|Romance,Ryan Gosling,The Notebook,34495,Gena Rowlands,0.0,class differences|letter|nursing home|second chance|summer love,http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1,English,USA,2004,638.0,7.9,2.35,57000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,29000000,115603229,10026823554.809015,0.8637154979999999,3357587083.611645,13384410638.420664,2.0,9.0,2.0,1.0,0.07495490205881132,0,0,0,1,0,0
Steven Brill,95.0,65.0,246.0,Scott Adsit,506.0,Adventure|Comedy|Mystery,Antony Starr,Without a Paddle,1266,Bonnie Somerville,3.0,death|friend|hijacker|river|tree house,http://www.imdb.com/title/tt0364751/?ref_=fn_tt_tt_1,English,USA,2004,316.0,5.9,2.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19000000,69631118,5862013373.297141,0.8637154979999999,2199798434.0903893,8061811807.387531,3.0,1.0,1.0,1.0,0.04382109735640946,0,0,0,1,0,0
Robert Zemeckis,100.0,0.0,267.0,Eddie Deezen,15000.0,Adventure|Animation|Family|Fantasy,Tom Hanks,The Polar Express,16264,Peter Scolari,0.0,boy|christmas|christmas eve|north pole|train,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,English,USA,2004,726.0,6.6,2.35,10000,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165000000,310634054,16861345470.496582,0.8637154979999999,19103512717.100742,35964858187.59733,3.0,7.0,1.0,1.0,0.12604598695432,1,0,0,0,0,0
James Wan,103.0,0.0,651.0,Monica Potter,2000.0,Horror|Mystery|Thriller,Michael Emerson,Saw,5161,Shawnee Smith,0.0,chained|flashback|killer|serial killer|surprise ending,http://www.imdb.com/title/tt0387564/?ref_=fn_tt_tt_1,English,USA,2004,878.0,7.7,1.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1200000,103911669,11891840454.158438,0.8637154979999999,138934637.94255087,12030775092.100988,1.0,1.0,4.0,1.0,0.08889673118917175,0,0,0,0,1,0
David S. Goyer,122.0,687.0,957.0,Natasha Lyonne,16000.0,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Ryan Reynolds,Blade: Trinity,19764,John Michael Higgins,0.0,blade|blood|dracula|vampire hunter|vampire slayer,http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1,English,USA,2004,1000.0,5.9,2.35,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,65000000,128905366,7398890739.830166,0.8637154979999999,7525626221.88817,14924516961.718338,1.0,1.0,6.0,1.0,0.055309937830721585,0,0,0,0,1,0
Mike Leigh,125.0,608.0,579.0,Sally Hawkins,979.0,Crime|Drama,Eddie Marsan,Vera Drake,3133,Imelda Staunton,1.0,1950s|miscarriage|neighbor|pregnancy|tailor,http://www.imdb.com/title/tt0383694/?ref_=fn_tt_tt_1,English,UK,2004,594.0,7.7,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11000000,13300000,266291389.38988912,0.8637154979999999,1273567514.473383,1539858903.8632722,1.0,1.0,1.0,2.0,0.0019905918055748264,0,0,0,0,1,0
Guillermo del Toro,132.0,0.0,160.0,Rupert Evans,366.0,Action|Fantasy|Horror|Sci-Fi,James Babson,Hellboy,1112,Brian Steele,1.0,assassin|demon|hero|nazi|superhero,http://www.imdb.com/title/tt0167190/?ref_=fn_tt_tt_1,English,USA,2004,334.0,6.8,1.85,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,66000000,99318987,3857634496.214633,0.8637154979999999,7641405086.840299,11499039583.05493,2.0,1.0,1.0,1.0,0.028837475585187945,0,0,0,1,0,0
Joe Nussbaum,89.0,18.0,2000.0,Alexa PenaVega,7000.0,Comedy|Romance,Steve Carell,Sleepover,13626,Hunter Parrish,9.0,best friend|party|rival|scavenger hunt|sleepover,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,English,USA,2004,2000.0,5.3,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000000,10143022,16558924.823182926,0.8637154979999999,1157788649.5212572,1174347574.3444402,1.0,2.0,4.0,1.0,0.00012373078650987902,0,0,1,0,0,0
Joe Johnston,136.0,394.0,1000.0,Viggo Mortensen,24000.0,Action|Adventure|Western,J.K. Simmons,Hidalgo,36925,Peter Mensah,1.0,arab|cowboy|horse|race|sheik,http://www.imdb.com/title/tt0317648/?ref_=fn_tt_tt_1,English,USA,2004,10000.0,6.7,2.35,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100000000,108103450,938208243.1963034,0.8637154979999999,11577886495.212572,12516094738.408876,2.0,8.0,2.0,2.0,0.0070134685252689856,0,0,0,1,0,0
Andrew Adamson,93.0,80.0,48.0,Jennifer Saunders,692.0,Adventure|Animation|Comedy|Family|Fantasy|Romance,Rupert Everett,Shrek 2,1148,Conrad Vernon,1.0,drag queen|physical appearance|princess|queen|sequel,http://www.imdb.com/title/tt0298148/?ref_=fn_tt_tt_1,English,USA,2004,309.0,7.2,1.85,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,150000000,928760770,90164038019.84344,0.8637154979999999,17366829742.818855,107530867762.6623,2.0,2.0,1.0,1.0,0.6740161499457846,0,0,1,0,0,0
Luke Greenfield,110.0,42.0,111.0,Timothy Bottoms,355.0,Comedy|Drama|Romance,Chris Marquette,The Girl Next Door,911,Jacob Young,2.0,forced to strip|male rear nudity|porn actress|scantily clad female|teenager,http://www.imdb.com/title/tt0265208/?ref_=fn_tt_tt_1,English,USA,2004,155.0,6.8,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21000000,31635150,1231325595.5956,0.8637154979999999,2431356163.994641,3662681759.59024,2.0,1.0,1.0,1.0,0.009204650837729624,0,0,0,0,1,0
Alexander Payne,126.0,729.0,284.0,Patrick Gallagher,912.0,Adventure|Comedy|Drama|Romance,Virginia Madsen,Sideways,2170,M.C. Gainey,0.0,actor|california|teacher|wine|writer,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,English,USA,2004,306.0,7.5,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,16000000,109502303,10825590511.74974,0.8637154979999999,1852461839.2340121,12678052350.983751,2.0,2.0,1.0,2.0,0.08092603960321118,0,0,0,0,1,0
Terry George,121.0,83.0,242.0,Sophie Okonedo,3000.0,Drama|History|War,Don Cheadle,Hotel Rwanda,4142,Hakeem Kae-Kazim,1.0,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,http://www.imdb.com/title/tt0395169/?ref_=fn_tt_tt_1,English,UK,2004,460.0,8.1,2.35,12000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,17500000,38000000,2373466731.518577,0.8637154979999999,2026130136.6622,4399596868.1807785,1.0,6.0,1.0,1.0,0.01774266278032841,0,0,0,1,0,0
David R. Ellis,94.0,160.0,167.0,Valerie Cruz,550.0,Action|Crime|Thriller,Richard Burgi,Cellular,1102,Will Beinbrink,1.0,cell phone|distress signal|family in danger|police|stealing a car,http://www.imdb.com/title/tt0337921/?ref_=fn_tt_tt_1,English,USA,2004,216.0,6.5,2.35,2000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25000000,56422687,3638083034.605917,0.8637154979999999,2894471623.803143,6532554658.4090605,2.0,1.0,1.0,1.0,0.02719623095939535,0,0,0,1,0,0
Edgar Wright,99.0,1000.0,358.0,Dylan Moran,605.0,Comedy|Horror,Peter Serafinowicz,Shaun of the Dead,1686,Rafe Spall,6.0,british horror|pub|record collection|zombie|zombie apocalypse,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,English,UK,2004,427.0,8.0,2.35,19000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4000000,30332385,3048733646.782381,0.8637154979999999,463115459.80850285,3511849106.590884,1.0,1.0,2.0,1.0,0.022790582696377213,0,0,0,0,1,0
Alex Proyas,115.0,295.0,466.0,Bruce Greenwood,10000.0,Action|Mystery|Sci-Fi|Thriller,Will Smith,"I, Robot",12068,Chi McBride,1.0,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,http://www.imdb.com/title/tt0343818/?ref_=fn_tt_tt_1,English,USA,2004,981.0,7.1,2.35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,120000000,347234916,26309000651.971638,0.8637154979999999,13893463794.255087,40202464446.226715,1.0,8.0,5.0,2.0,0.19667140287877455,0,0,0,1,0,0
Bibo Bergeron,90.0,10.0,11000.0,Martin Scorsese,22000.0,Adventure|Animation|Comedy|Family,Robert De Niro,Shark Tale,63165,Angelina Jolie Pitt,0.0,anchor|fish|mobster|shark|vegetarian,http://www.imdb.com/title/tt0307453/?ref_=fn_tt_tt_1,English,USA,2004,17000.0,6.0,1.85,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75000000,367275019,33839269953.68098,0.8637154979999999,8683414871.409428,42522684825.090416,2.0,17.0,1.0,11.0,0.25296350829972425,0,0,1,0,0,0
Keenen Ivory Wayans,109.0,322.0,861.0,Jaime King,1000.0,Comedy|Crime,Busy Philipps,White Chicks,6313,Brittany Daniel,4.0,african american|crossdresser|fbi|undercover|vomiting,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,English,USA,2004,960.0,5.4,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37000000,113086475,8809205713.708288,0.8637154979999999,4283818003.2286525,13093023716.936941,2.0,1.0,5.0,2.0,0.06585266824386497,0,0,0,1,0,0
Sam Raimi,135.0,0.0,4000.0,James Franco,24000.0,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man 2,43388,Kirsten Dunst,1.0,death|doctor|scientist|super villain|tentacle,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,English,USA,2004,11000.0,7.3,2.35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,200000000,783766341,67587804358.23557,0.8637154979999999,23155772990.425144,90743577348.6607,3.0,11.0,3.0,7.0,0.5052487826221831,0,0,0,1,0,0
Richard Loncraine,98.0,12.0,663.0,Jon Favreau,4000.0,Comedy|Romance|Sport,Kirsten Dunst,Wimbledon,9330,Austin Nichols,1.0,career|player|tennis|tennis player|wimbledon,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,English,UK,2004,4000.0,6.3,2.35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31000000,41512007,1217068238.8288002,0.8637154979999999,3589144813.515897,4806213052.344698,1.0,7.0,4.0,1.0,0.009098070767617313,0,0,0,1,0,0
Michael Mann,120.0,0.0,680.0,Jada Pinkett Smith,10000.0,Crime|Drama|Thriller,Tom Cruise,Collateral,13581,Debi Mazar,0.0,city by night|contract killer|driving at night|los angeles california|taxi,http://www.imdb.com/title/tt0369339/?ref_=fn_tt_tt_1,English,USA,2004,851.0,7.6,2.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,65000000,217764291,17686876217.196236,0.8637154979999999,7525626221.88817,25212502439.084404,3.0,9.0,2.0,2.0,0.13221719570656254,0,0,0,0,1,0
Stephen Hillenburg,87.0,47.0,217.0,Bill Fagerbakke,19000.0,Adventure|Animation|Comedy|Family|Fantasy,Scarlett Johansson,The SpongeBob SquarePants Movie,20097,Rodger Bumpass,0.0,based on tv series|crown|dream|king neptune|plankton,http://www.imdb.com/title/tt0345950/?ref_=fn_tt_tt_1,English,USA,2004,542.0,7.0,1.85,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30000000,140161792,12754407238.852163,0.8637154979999999,3473365948.5637717,16227773187.415934,1.0,4.0,1.0,1.0,0.09534480076426208,0,0,1,0,0,0
Zach Braff,102.0,0.0,294.0,Michael Weston,625.0,Comedy|Drama|Romance,Armando Riesco,Garden State,1655,Jill Flint,3.0,actor|doctor|drugs|home|pain,http://www.imdb.com/title/tt0333766/?ref_=fn_tt_tt_1,English,USA,2004,379.0,7.6,2.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2500000,26781723,2811310328.021925,0.8637154979999999,289447162.3803143,3100757490.4022393,1.0,1.0,1.0,1.0,0.021015738005760173,0,0,0,0,1,0
David Koepp,96.0,192.0,501.0,Charles S. Dutton,40000.0,Mystery|Thriller,Johnny Depp,Secret Window,41293,Timothy Hutton,1.0,adultery|extramarital affair|infidelity|unfaithfulness|writer,http://www.imdb.com/title/tt0363988/?ref_=fn_tt_tt_1,English,USA,2004,534.0,6.6,2.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40000000,92913171,6126226879.397736,0.8637154979999999,4631154598.085029,10757381477.482763,2.0,16.0,2.0,2.0,0.04579621058850558,0,0,0,1,0,0
Don Mancini,88.0,64.0,363.0,Billy Boyd,1000.0,Comedy|Fantasy|Horror|Thriller,Jason Flemyng,Seed of Chucky,2567,Hannah Spearritt,0.0,actress|killer doll|murder|vixen|vomiting,http://www.imdb.com/title/tt0387575/?ref_=fn_tt_tt_1,English,Romania,2004,857.0,4.9,1.85,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12000000,24829644,1485401620.05985,0.8637154979999999,1389346379.4255085,2874747999.485359,1.0,5.0,2.0,1.0,0.011103981894964287,0,0,0,0,1,0
Steven Spielberg,128.0,14000.0,232.0,Chi McBride,15000.0,Comedy|Drama,Tom Hanks,The Terminal,16199,Barry Shabaka Henley,0.0,airport|construction site|fish out of water|flight attendant|man without a country,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1,English,USA,2004,466.0,7.3,1.85,16000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60000000,219417255,18457148837.68359,0.8637154979999999,6946731897.1275425,25403880734.81113,4.0,8.0,2.0,1.0,0.1379753254384571,0,0,0,1,0,0
Mike Nichols,98.0,0.0,23.0,Julia Roberts,20000.0,Drama|Romance,Natalie Portman,Closer,28027,Colin Stinton,2.0,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,http://www.imdb.com/title/tt0376541/?ref_=fn_tt_tt_1,English,USA,2004,8000.0,7.3,1.85,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,27000000,115505027,10247011568.61724,0.8637154979999999,3126029353.7073946,13373040922.324636,1.0,7.0,7.0,1.0,0.07660090519483574,0,0,0,0,1,0
Brett Ratner,97.0,420.0,455.0,Don Cheadle,4000.0,Action|Comedy|Crime|Drama,Salma Hayek,After the Sunset,9814,Chris Penn,2.0,diamond|fbi|fbi agent|island|thief,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,English,USA,2004,3000.0,6.3,2.35,782,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,60000000,61347797,156046406.84588018,0.8637154979999999,6946731897.1275425,7102778303.973423,3.0,4.0,7.0,2.0,0.0011664616276422278,0,0,0,1,0,0
Beeban Kidron,108.0,17.0,186.0,Jim Broadbent,14000.0,Comedy|Drama|Romance,Colin Firth,Bridget Jones: The Edge of Reason,15634,Celia Imrie,1.0,american actress playing british character|intern|prison|six word title|thailand,http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1,English,UK,2004,1000.0,5.9,2.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,40000000,262500000,25760797451.847973,0.8637154979999999,4631154598.085029,30391952049.933,1.0,6.0,4.0,1.0,0.19257334063198905,0,0,0,0,1,0
Frank Oz,93.0,0.0,465.0,Matthew Broderick,11000.0,Comedy|Sci-Fi|Thriller,Jon Lovitz,The Stepford Wives,13748,Roger Bart,1.0,community|connecticut|fem bot|tv producer|writer,http://www.imdb.com/title/tt0327162/?ref_=fn_tt_tt_1,English,USA,2004,2000.0,5.2,1.85,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90000000,102000000,1389346379.4255085,0.8637154979999999,10420097845.691315,11809444225.116823,3.0,2.0,3.0,1.0,0.010385926336075362,0,0,0,1,0,0
Takashi Shimizu,98.0,70.0,634.0,Clea DuVall,4000.0,Horror|Mystery|Thriller,Sarah Michelle Gellar,The Grudge,7461,Ted Raimi,0.0,american|curse|japan|nurse|rage,http://www.imdb.com/title/tt0391198/?ref_=fn_tt_tt_1,English,USA,2004,1000.0,5.9,1.85,4000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10000000,183474602,20084692517.58176,0.8637154979999999,1157788649.5212572,21242481167.103016,1.0,5.0,4.0,1.0,0.1501419368483878,0,0,0,1,0,0
Alfonso Cuarón,142.0,0.0,10000.0,Gary Oldman,11000.0,Adventure|Family|Fantasy|Mystery,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban,33284,Rupert Grint,3.0,magic|muggle|serial killer|traitor|wizard,http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1,English,UK,2004,10000.0,7.8,2.35,11000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,130000000,789804554,76391422352.36354,0.8637154979999999,15051252443.77634,91442674796.13988,1.0,5.0,2.0,2.0,0.5710597347084155,0,0,1,0,0,0
Joel Schumacher,143.0,541.0,530.0,Minnie Driver,18000.0,Drama|Musical|Romance|Thriller,Gerard Butler,The Phantom of the Opera,20660,Miranda Richardson,0.0,based on stage musical based on novel|disfigurement|mask|opera|singer,http://www.imdb.com/title/tt0293508/?ref_=fn_tt_tt_1,English,UK,2004,893.0,7.4,2.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,70000000,154648887,9800552056.320751,0.8637154979999999,8104520546.6488,17905072602.96955,6.0,2.0,4.0,2.0,0.07326342217458377,0,0,0,1,0,0
Mel Gibson,120.0,0.0,113.0,Maia Morgenstern,260.0,Drama,Christo Jivkov,The Passion of the Christ,705,Hristo Shopov,0.0,anti semitism|cult film|grindhouse|suffering|torture,http://www.imdb.com/title/tt0335345/?ref_=fn_tt_tt_1,Aramaic,USA,2004,252.0,7.1,2.35,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30000000,611899420,67371654363.900276,0.8637154979999999,3473365948.5637717,70845020312.46408,1.0,1.0,1.0,1.0,0.5036329654740371,0,0,0,0,1,0
